ward	name
1 - Sampoor	Nasoordeen Mohamed Ilham
2 - Kaddaiparichan	Sahul Hameedu Rafayitheen
3 - Neithal Nager	Mohammathu Mansoor Majeer
4 - Akkaraichenai	Rahumathulla Muhamathu Rifan
5 - Muthur	Muhamathu Kiyas Muhamathu Safran
6 - Jaya nagar	Abdhul Cader Mohamed Asmi
7 - Periyapalam	Muhamathu Naseer Muhamathu Nashath
8 - Iruthayapuram	Anoja Vinothaneshan
9 - Kiliveddy	Naseer Mohammed Hamas
10 - Palathopoor	Saleem Mohamed Shifan
11 - Thopoor	Muhammed Musammil Fernoos
12 - Allainagar	Seinulabtheen Fajeer
13 - Pallikudiyeruppu	Mohamed Nafees Fathima Afrina
