ward	name
1 - Pannala	Velu Nawaraththinam
2 - Theripehe	Dureisami Nadarasa
3 - udamadura north	Perumal Kirushanthan
4 - Kalaganwaththa	Krishanakumar Kirushanthani
5 - Thibbatugoda	Karuppiah Nishanthan
6 - Kumbalgamuwa	Adeikkan Arunchelvi
7 - Liyanwala	Medakumburegedara Nadeesa Wijesundara
8 - Landupita	Thamilwanan Ponniah
9 - Padiyapelella	Anthonyraj Jenowa mary
10 - Kurunduoya	Murugiah Raamkee
11 - Hiforest	Kandasaami Sivaraja
11 - Hiforest	Jayanthan Pradeepan
12 - Walapane	Selvaraj Dushanthan
13 - Mahauva	Perumal Karuppiah
14 - Nildandahinna	Sivanadan Saththiyananda
15 - udamadura	Murugiah Sridaran
16 - Yatimadura	Loganadan Selvanadan
17 - Madulla	Moorthy Ariyadarshan
18 - Ambaliyadda	Thambiraj Manikkawasagam
19 - Kotambe	Kaleiselwam Krishnakumar
20 - Harasbedda	Sankaralingam Siwanandi
20 - Harasbedda	Sewanu Kaleikumar
21 - Brookside	Panchawarnam Rajan
21 - Brookside	Ramalingam Kalanidi
22 - Ragala	Kandiah Nawaneetharaja
23 - Senarathpura	Rengasaami Maheshwaran
23 - Senarathpura	Balakrishnan Puneeda
24 - Kurupanawela	Singavelu Gnanasekaran
25 - Udapussellawa	Arumugam Kamalakaran
25 - Udapussellawa	Anbalagan Mohaneshwaran
26 - Delmar	Wedangan Ganesan
27 - St.Lenards	Sandanam Mohanraj
28 - Ekagapura	Gopal Kavidha
