ward	name
1 - Halmulla	Kahawaththa Arachchige Susila Dias
2 - Welewatta	Adhikari Mudiyanselage Swarna Karunarathne
3 - Kiththampahuwa	Lansaka Senanayake Duminda Pathirathne
4 - Wennawatta	Jayakodige Don Gamini Kamal
5 - Maha Buthgamuwa	Dedigamuwa Acharige Manjula Priyantha
6 - Kuda Buthgamuwa	Mohammad Nasir Mohammad Rishadi
7 - Kelanimulla	Loku Liyanage Saranapala Perera
8 - Ambathale	Ehelapitiya Hewage Chandima Shiromali Ranaweera
9 - Udumulla	Wickramarathnage Sanjeewa Prasanna
10 - Malgama	Mudalige Don Keerthi Rathnasiri Wijegunawardena
11 - Mulleriyawa	Gunarathne Rathnayake Mudiyanselage Yovsitha Harsha Abeyrathne
12 - Malpura	Kalubandanage Dhanushka Pushpa Kumara
13 - Kotikawatta	Navagamuwage Chaminda Perera
14 - Batalandahena	Abdul Wahab Mohammad Shihan
15 - Megoda Kolonnawa	Hetti Arachchige Jayasena Herbert Perera
15 - Megoda Kolonnawa	Mohammad Sherif Mohammad Rimzan
16 - Gothatuwa	Anura Kumara Jayasingha
17 - Madinnagoda	Paththiniwasam Ajantha Pathmini
18 - Dodamgahahena	Uggallage Gihan Ranga Jayalath
19 - Himbutana	Kaluwa Dewage Priyantha Premasiri
20 - Udumulla South	Hapugoda Arachchige Premajayantha
21 - Rajasinghegama	Mathrage Prasad Pushpakumara Perera
