ward	name
1 - ketepola	Dayalath Upul Nishantha
2 - Madabaddara	Rajendran Thyagaraja
3 - Galathura	Midigaspe Arachchige Sheyal Kumara
4 - Sinhalagoda	Aguru Baddage Chamila Niranjanee Bodhirathna
5 - Pallekada	Anagipurage Sajith Priyankara Karunasiri
6 - Dumbara Manana	Deraniyagalage Chinthaka Nishantha Saman Kumara
7 - Pitakanda	Hettiwaththage Gnanathilaka
8 - Ayagama	Mahagamage Janaka Sarath Pushpa Kumara
9 - Udugala	Gammedde Manage Jayasundara
10 - Paragala	Herath Mudiyanselage Somasiri Manjula Susantha Pushpa Kumara
