ward	name
1 - Pothubandhana	Jayasinghe Panikkiyala ge Lalitha Jayasinghe
2 - Kotabowa	Umarulebbe Kiyas
3 - Nannapurava	Anura Vithanachchi
4 - Kohukumbura	Disanayake Mudiyanselage Wijethilaka
5 - Monaravana	Muthumini Arachchige Dias Thilakasiri
6 - Thimbiriya	Disanayake Mudiyanselage Amarasooriya
7 - Medagama	Wanasinghe Mudiyanselage Udaya Bandula
8 - kendavinna	Thennakoon Mudiyanselage Jayarathna
9 -	Rathnayaka Mudiyanselage Gunarathna Banda
10 - Amunekandura	Rathnayaka Mudiyanselage Namal Dimuth Arunasiri
