ward	name
1 - Dandeniya	Mohamadu Aroos Siththi Farina
2 - Urugamuwa	Walivarsha Konda Liyanage Premaratne
3 - Walasgala	Widana Arachchige Ajith Premachandra
4 - Dandeniya South	Katuwana Arachchige Ranjith
5 - Rathmale	Hewa Koswaththege Sanjeewa Sampath Gunasekara
6 - Balideniya	Marakkala Manage Thisara Malshan
7 - Beliwaththa	Ranasinghe Kamkanamge Sanjeewa Upul Shantha
8 - Kottagoda	Wanigabadu Piyathilaka
9 - Bambarenda	Mohammad Safatullah Mohammad Simas
10 - Batheegama	Mohammad Mukarram Mohammad Rifkan
11 - Waththegama	Ahmad Kasim Ahmadu Rimzan
12 - Dickwella South	Shirazi Seyyed Mohammad
13 - Yonakapura	Mohamad Yehia Hilmi Yehia
14 - Wavurukannala	Muhamad Abubakar Muhammad Iftikhar
15 - Dodampahala West	Ramya Susanthi Muthumala
16 - Dodampahala East	Abdul Razik Mohammad Rizwan
