ward	name
1 -	THIYAGARASA RAVICHANDRAN
2 -	SIVANESAM SIVARASA
3 -	THAMOTHARAM KOKILA JEYANTHI
4 -	THARMARETNAM VINOTHINI
5 -	CHANDRAKUMAR JENITTA CAROLIN
6 -	PARAMAKURU PARAMASEELAN
7 -	SHANMUGANATHAN VIJITHARAN
8 -	SAMITHAMBY MAHENDRA KUMAR
9 -	SIVARASA VARATHARASA
10 -	SIVALINGAM RAVIKANTH
11 -	LEDCHUMANAN DEVAPRADEEPAN
12 -	KUMARASAMI ARUNASALAM
13 -	ALAGAIYA NITHARSHAN
14 -	RASAGOPAL JANI
15 -	NALLASAMI PRATHEEPAN
16 -	NAGESWARAN SENTHOORAN
17 -	VINAYAGAMOORTHY SINTHUJAH
18 -	MAHESWARAN VIMALCHANDRAN
