ward	name
1 - Yathtramulla	Duwe Arachchige Samantha Kusumsiri
2 - Bodhimaluwa	Kotagoda Hetti Arachchige Lalith Ransi Jayasekara
3 - Dope	Saruwa Liyanage Sirisena
4 - Haburugala	Anuruddha Gihan Kotte Arachchi
5 - Elakaka	Jayarathna Amarasingha
6 - Mahagoda	Bodara Gamage Shanuka Deshan
7 - Gonagalapura	Malikkuwadura Chintha
8 - Aturuwella	Udagekankanamge Madhubhashika Dilhani
9 - Kaikawala	Wajika Sanjayani Paranamanna
10 - Warakamulla	Lanka Yunesh Sri Wijerathna Ponnamperuma
11 - Miriswaththa	Henage Dona Ayesha Hansani Gunasekara
12 - Ranthotuwilla	Meegamage Don Dilsara Chamod
13 - Maha ooragaha	Hemage Herath Ashoka Ananda
