ward	name
1 - Iranawila	Weliveriya Liyanage Don Rushan
2 - Toduwawa	Thommage Teslin Chamil Labroy Fernando
3 - Mattakottu Wella	Warnakulasooriya Dorin Chandra Fernando
4 - Mahawewa	Herath Mutdiyanselage Dayawansa
5 - Kudawewa	Jayasinghe Arachchige Ayomi Rasangika
6 - Galamuna	Herath Mudiyanselage Hemantha Priyadarshana
7 - Yatakalana	Mahara HettiArachchige winson
8 - Dunkannawa	Subasinghe Arachchilage Priyantha Subasinghe
9 - Tappowa	Weerakoon Mudiyanselage Pahala Gedara Seneviratne Bandara,
10 - Naththandiya	Amarasinghege Osman Rexy Fernando
11 - Walahapitiya	Marasinghe Arachchige Asoka Ariyawansa
12 - Haththiniya	Galgamage Chaminda Kumarasiri Silva
13 - Koswadiya	Weerakkodi Mudalige Chanika Madhushani
14 - Talwila	Donkarage Chandana Chaminda Fernando
15 - Marawila	Jayakodi Arachchige Don Anton Jayantha Jayakodi
16 - Mudukattuwa	Warnakulasooriya Colin Thamel
17 - Mawila	Mihindukulasooriya Andarege Priyal Pathum Livera
18 - Narawila	Polgampala Ralalage Lalantha Ranjan Dasanayake
19 - Koswaththa	Randunu Pathirannehelage Nandana Priyantha Pathirana
20 - Kottaramulla	Polgampala Ralalage Laxman Niranjan Dasanayake
21 - Tummothara	Kerunna Godage Tenyson Samanweera
22 - Ihala Kattuneriya	Warnakulasooriya Leo Herbert Ranjith Fernando
23 - Pahala Kattuneriya	Warnakulasooriya Nimalka Sadamali Fernando
24 - Meda Kattuneriya	Mellawa Tantrige Chaminra Joy Prasad Perera
