name
Sankapala Arachchige Jagathsiri sankapala
Rathnayaka Loku Gamarallage Samarathunga Rathnayaka
Kandegama Rallage Vijitha Prasanna Somarathna
Wickrama Arachchille Abyesiri
Rankothge Ajith Premakumara
Muruthen Ralalage Sinelka Savinda Wijesekara
Hel Aramba Gamaralalage Chanaka Ranasingha
Nissanga Arachchi Appuhamillage Pradeepa Desimali
Gedumawaththe Kankanamalage Lalani Chandrika Bandara
Dangallage Himali Chandrika Dangalla
Dewayalage Ola Jayalalani Dayawansha
Dodamgoda Kumara Gamage Chathurika Dilrukshi
Narala Gamaralalage Subhadra Manike
Giridara Innayaka Rallage Sumanawathi
