ward	name
1 - Buddama	Munasinghe Arachchilage Chandana Bandara
2 - Pallewela	Munasinghe Arachchilage Nuwan Sameera Bandara
3 - Kotagoda	Meregngnage Jagath Rathnasiri Salgadhu
4 - Samanalabedda	Dissanayaka Mudiyanselage Gayani Nilukshi Rathnaweera
5 - Muthukandiya	Dissanayaka Mudiyanselage Sugathadasa Dissanayaka
6 - Mahakalugolla	Konara Mudiyanselage Ayesh Dilshan Guanathilaka
7 - Siyambalanduwa	Rathnayaka Mudiyanselage Mahinda Prabath Kumara
8 - Kodayana	Liyana Arachchige Laksman Weerasingha
9 - Dombagahawella	Vanni Arachchilage Amila Wijaya
10 - Liyangolla	Aththanayaka Mohottalalage Kumarasingha
11 - Ethimale	Wanasingha Mudiyanselage Jagath kumara
12 - Gemunupura	Konara Mudiyanselage Wimala Sooriya kumarihamy
13 - Tissapura	Rathnayake Mudiyanselage Nimal Ranathunga
14 - Kotiyagala	Rathnayaka Mudiyanselage Jayarathna
