district_id	lg_id	ward_num	party	name
LK-11	LG-11001	0	DPC	A.K.Mohamed Nazar
LK-11	LG-11001	0	DPC	A.Kaliyamma
LK-11	LG-11001	0	DPC	Antony Allen
LK-11	LG-11001	0	DPC	Arokyam Selasrina
LK-11	LG-11001	0	DPC	Balakisnan Sribalan
LK-11	LG-11001	0	DPC	D.Gleny Harrison
LK-11	LG-11001	0	DPC	Elayathambi Lexmi
LK-11	LG-11001	0	DPC	Gangadaran Suresh Babu
LK-11	LG-11001	0	DPC	Gnanesan Prabakaran
LK-11	LG-11001	0	DPC	H.Y.Krisnakumar
LK-11	LG-11001	0	DPC	I.Fourudeen
LK-11	LG-11001	0	DPC	Irasaslosana Kirubanantham
LK-11	LG-11001	0	DPC	J.I.Roshilda Fernando
LK-11	LG-11001	0	DPC	J.S.Jayaraja
LK-11	LG-11001	0	DPC	Jayarathinam Punithavadi
LK-11	LG-11001	0	DPC	Jesudasan Anton Georgh
LK-11	LG-11001	0	DPC	Jhon Marry Anastarani
LK-11	LG-11001	0	DPC	K. Navaraja
LK-11	LG-11001	0	DPC	K.Lexmi Mangeleswaran
LK-11	LG-11001	0	DPC	Kangaraja kumaran
LK-11	LG-11001	0	DPC	Karuppiah Pillai ThiruGnakumar
LK-11	LG-11001	0	DPC	M.A.Z.Dhalley
LK-11	LG-11001	0	DPC	M.C.Hamid Zauhar
LK-11	LG-11001	0	DPC	M.M.Dhablin
LK-11	LG-11001	0	DPC	Mayalagu Prithiviraj
LK-11	LG-11001	0	DPC	Muniyandi Sumadi
LK-11	LG-11001	0	DPC	Munuyandi Maheswary
LK-11	LG-11001	0	DPC	Murugaiya Moganadas
LK-11	LG-11001	0	DPC	Navaraja Sri Priya
LK-11	LG-11001	0	DPC	Neethirajah Rajanikanth
LK-11	LG-11001	0	DPC	Nilanthi Kumaraganesh
LK-11	LG-11001	0	DPC	P.Nadaraja Ranjan
LK-11	LG-11001	0	DPC	Philip Mariya Pakkiyam
LK-11	LG-11001	0	DPC	Pushpamalar Roy
LK-11	LG-11001	0	DPC	R.F.A.A. Fernando
LK-11	LG-11001	0	DPC	Raja rajalaxmi
LK-11	LG-11001	0	DPC	Rajendran Usha
LK-11	LG-11001	0	DPC	Renuka Brabakaran
LK-11	LG-11001	0	DPC	Shiromi Fernando
LK-11	LG-11001	0	DPC	Sinnathambi Jayarani
LK-11	LG-11001	0	DPC	Sithambaram Mahendran
LK-11	LG-11001	0	DPC	Suppaiah karunagaran
LK-11	LG-11001	0	DPC	T.A.Leylaadeen
