ward	name
1 -	Wijesekara Mudiyanselage Gayan Wajira Wijesekara
2 -	Wanasinghe Mudiyanselage Ashoka Muthukumara
3 -	Ranaweera Arachchilage Wiraj Dhananjaya Wishwa Theekshana Wimukthi Ranaweera
4 -	Humbulu Arachchige Chanaka Prasad
5 -	Dharamadasage Suresh Kumara
6 -	Wannihamige Piyarathna
7 -	Alaldeen Mohommed Ramesh
8 -	Salinda Bandara Senavirathna
9 -	Kumarasingha Hetti Arachchilage Don Ashoka Nawarathna Kumarasingha
10 -	Chandrasekara Mudiyanselage Asha Tharangani Herath
12 -	Medagedara Nimsara Dulakshana Samarasingha
13 -	Wickrama Arachchilage Roshan Padmakumara
14 -	Ranchagoda Kankanange Sugath Anuradha
