ward	name
1 - Kambarmalai	Nagenthiram Pushpavasanthan
2 - Walvetty	Mayoorathan Nirojini
3 - Samarabahu	Kalaichchelvi Jayakumar
4 - Navindil	Vettrivel Sivakumar
5 - Vadiri	Thangavelayutham Iynkaran
6 - Alwai	........................................
7 - Aththai	........................................
8 - Nelliyady Town	Namasivayam Sangaralingam
9 - Imayanan	........................................
10 - Imayanan West	Nagaraththinam Mahanesan
11 - Uduppidi	Thyagaran Vijithankani
12 - Kalluwan Mandan	Nallathamby Mahalingam
13 - Karanawai	Jeyakkumar Perinparaj
14 - Uchchil Kappudu	Thanabalasingam Ravinthiran
15 - Karawetti North & West	Ranchithavaratharajah Raghunthan
16 - Karawetti	Kulapalasingam Piranthini
17 - Thunnalai	Thangaththurai Sivakumar
18 - Kattaiveli	Veeran Sakthivel
19 - Thunnalai South & West	Kanthan Paransothi
