ward	name
1 - Udaththwa	Samarakoon Mudiyanselage Nirosha Samarakoon
2 - Himbutuwa	Wijethunga Mudiyanselage Siriyalatha Kumarihami
3 - Kolongoda	Wickramasinghe Mudiyanselage Pradeep Udaya Kumara
4 - Udawela	Dissanayake Mudiyanselage Abeyrathne Banda Dissanayake
5 - Ulpathagama	Kethegurunnehela Gedara Nisantha Karunarathne
6 - Mahayaya	Mahawala Gedara Ranjith Premasooriya
7 - Hasalaka	Dissanayake Mudiyanselage Lalith Bandara Dissanayake
8 - Mahaassedduma	Welpalle Arachchilage Wasantha Jayasundara
9 - pallewaththa	Wathura Thanthri Upul Priyankara
10 - Morayaya	Weerasooriya Arachchige Weerasooriya
11 - Handaganawa	Jayasundara Mudiyanselage Yaparathne Banda
12 - Ambagahapelessa	Rajapaksha Gedara Upul Chandana Rajapaksha
13 - Minipe	Manawa Uthum Mudiyanselage Weerasinghe
