ward	name
1 - julampitiya	Ehalapitiya Hewage Sumithrapala Garusingha
2 -	Kattadige Krishan Sanjeewa
3 -	Hewa Kuda Anthonige Thilakarathna
4 -	Viyanahewage Somasiri
5 -	Gamage Karuna Kulathilaka
6 -	Bala Gamage Sunil Shantha
7 -	Namasinge Siriwardana
8 -	Hewa Kattadige Ravindu Heshan
8 -	Abdul Asees Muhamamdu Kalidu
9 - bovala	Hewa Walimunige Piyasena
10 - Galahitiya	Jasin Arachchige Subhani Ishara
11 -	Ediriveera Patabedinge Dilan Rangika
12 -	Liyana Arachchige Shriyani
13 - BEDIGAMA	Rannulu Keshan Hirantha Deerasingha De Soysa
14 - mulkirigala	Galhenage Lanjana Shayamani
15 -	Pinidiyage Upasena
16 -	Alahapperuma Arachchige Samith Asanka
17 -	Bodara Gamage Buddika Sadun Bandara Bodaragama
18 -	Siripala Harisan Gamage
19 -	Viyana Hewage Manilka Indika Samarasingha
20 -	Hewa Kuda Anthonige Shanaka Rupun Maduraanga
