ward	name
1 - Karaikal	Rasaratnam Rathinakasan
2 - Kondawil North	Kalaithevan Charles
3 - Kondawil East	Ramachanthiran Thanusan
4 - Kokuwil West	Thatheeswaran Jageesan
5 - Keniyadi	Kirusnanathan Nishanthan
6 - Kokuwil Central	Sivajini Rusanthan
7 - Kokuwil East	Anpalagan Aathiththan
8 - Thirunelweli Central	Kanthaiah Makeswaran
9 - Thirunelweli	Vasuki Suthakar
10 - Kalwiyankadu South	Nageswary Amirthalingam
11 - Ariyalai East	Navarathinam Viyoorthan
12 - Maniyam Thoattam	Ladchumanan Kalaichelvan
