ward	name
1 - Thalaawa	Jayasekarage Janith Maduwantha
2 - Dabarella	Witharanage Pradeep Chathuranga
3 - Uswewa	Gamaethige Chaminda Niroshan
4 - Binkama	Kankanam Pathiranage Wimalawathee
5 - Dannenigama	Hewa Gamage Rukman Shirly Jayalath
6 - Agunakolapelessa	Kuda Anthoni Hewa Gamage Amila Kumarasinha
7 - Jandura	Mathuwakanda Arachchige Pathiraja
8 - Dahaamuna	Amaraweerage Thushara
9 - Hakuruwela	Chamila Kumara Wanni Arachchi
10 - Udayala	Vidanapathiranage Kusumsiri Gnanathilaka Vidanapathirana
11 - Aththanayala	Gajaman Hewage Nadeeka Niroshanee
