ward	name
1 - Hunuwala	Heenwahumpurage Kanchana Dilrukshi Wickramage
1 - Hunuwala	Kumarasinghe Vithanage Nishantha Harsha Kumara
2 - Udawela	Lindawaththa Appuhamilage Hemantha Wijayakumara
3 - Opanayaka	Kanaththagamage Budhdhika Wijekumara
4 - Akarella	Raigam Koralege Lahiru Sandaruwan
5 - Panana	Horane Karalage Jagath Saman Kumara
6 - Ranwala	Thammattayalage Sumith Udayasiri
7 - Badullegama	Wickrama Arachchilage Sajeewa Manoj Gunarathne
8 - Weligepola	Koongahawaththage Shalika Madhusanka Jayasundara
9 - Handagiriya	Udagedara Durayalage Sanka Pradeep Kumara
10 - Galpaya	Bassa Hewayalage Karunasiri Wickramasinghe
