ward	name
1 - Halpathota	Dewa Suranga Prema Chandana
2 - Baddegama Town	Ranjith Thennakoon
3 - Nayapamula	Upasaka Dewayalage Ajith Premakumar
4 - Hemmeliya	Godakanda Kankanamge Bhagya Dhananjaya
5 - Lelwala	Hegoda Arachchi Sudantha Hemakumara
6 - Weihena	Kihaduwage Dinesh Isuru Sampath
7 - Baddegama south	Benthara Gamaralalage Sunil Santha
8 - Ganegama	Konthagoda Kankanamge Manoja Priyadarshanie
9 - Keredewela Majuwana	Korale Kankanamge Ishara Madhushani
10 - Ginimellgaha	Korale Kankanamge Eranga Madushanka
11 - Thelikada	Hettiarachchige Kasun Madhushan
12 - Balagoda	Urawaththa Patiarambage Malaka Pathmakumara
13 - Andurathvila	Koralage Gayathri Jayamali
14 - Pahala Keembiya	Kolonnage Nadee Udayanganie Perera
15 - Deiyandara	Gayan Shantha Kumara Dissanayaka
16 - Wanduramba	Vithanachchi Kankanamge Amaravansa
17 - Mabotuwana	Mabotuwana Vithanage Piyadasa
18 - Pitiharawa	Kalahe Jagodage Wimalarathna
19 - Ihala Keembiya	Korale Gamage Tharidu Dilshan De Alwis
