ward	name
1 - Periyathampanai - Piramanalankulam	Manohararaja Kirojan
2 - Andiyapuliyankulam	Shihapdeen Liya ul haq
2 - Andiyapuliyankulam	Kathiravel Piremkumar
3 - Kurukkalputhukkulam - kanthasaminakar	Shikkanthar Sivachandru
4 - Pavatkulam	Ramani Suthaharan
5 - Suduventhapulavu	Sareepu Muhammadu Anaf
6 - Periyapuliyalankulam	Thirunavukarasu Thileefan
7 - Mukaththankulam - cheddikulam	Haroon Mohamad Jaavith
8 - Mudhaliyarkulam - chrishthavakulam	Veeraputhiran Jeevaneshan
9 - Neriyakulam	Amaladasan Fernandamma Dias
10 - chinnachchippikulam	Thajitheen Mohamadu Imthiyaz
