ward	name
1 - Vellankulam	Kandaiya Leenappu
2 - Ilupaikadavai	Kadiravelu Sasinthan
3 - Periyamadhu	Sahulhameethu Najimuthin
4 - Vidathaltivu	Yalaltheen Nahoorya Kooper
4 - Vidathaltivu	Kamaaltheen Tharik
5 - Nedunkandal	Samruth Pogam Jeseen
6 - Aalkadiveli	Pilippu Maduththeen
7 - Adampan	Sakthivel Kamalakaran
8 - Vaddakandal	Sivaguru Suganthan
8 - Vaddakandal	Subramaniyam Suppaiya
9 - Madhu	Anton Rohan Silva Anikilaas Silva
10 - Iranai Ilupaikulam	Savukkanthan Muhamathu Saathik
11 - Kakayankulam	Abesha Siththikka Mohamathu Farus
