name
Rasidu Roshan Hakthar
Herath Bandage Sugathapala
Seinul Abdeen Pasmiya
Ismail Mohammad Tharukku
Akbar Nasmiya
Risona Mohammadu Ripkan
Thuwan SharukIras Mohamad
Mohammadu Kasim Sudahirdeen
Abdul Majeedu Siththi Rejeena
Daud Thajunnisa
