ward	name
1 - Poddala	Sarath Kalansooriya
2 - Narawala	Kalehe Pandithakoralalage Upul Indika Wijayawickrama
3 - Labudoowa	Hewara Hinduwage Kushil Hasantha
4 - Uluvitike	Godawatte Kankanange Keerthi Indrajith
5 - wakwella	Hagoda Gamage Hemanthi Chathurika
6 - Hapugala	Weerasingha Preethirathna
7 - Kurunduwatta	Mohamad Abdulla Mohamad Rahumathulla
8 - Welipitimodara	Senevirathna Chandrasena
9 - Kalegana	Abeywickrama Dhanapala Sudath
10 - Kithulampitiya	Kiringoda Arachchige Ruchitha Chandrani
11 - Karapitiya	Weerasingha Pathiranage Indunil Tharanga Weerasingha
12 - Kapuhempala	Chinthaka Thushara Welivitiya
