ward	name
1 - Karawile	Kahada Wengappuli Arachchige Dayananda
2 - Sellakataragama	Jayawarna Arachchige Nayana Rangani
3 - Kataragama	Modara Nekathage Dilan Sampath
3 - Kataragama	Yamannalage Priyadarshani Pushpakumari
4 - Mailagama	Punchi Hewage Karunadasa
5 - Kandasurindugama	Pradeep Shyamantha Wedage
6 - Detagamuwa Colany	Palawinnage Dayaseeli
7 - Kataragama New Town	Edirisingha Kankanamge Ruwani Shanthi
7 - Kataragama New Town	Aththanayaka Mudiyanselage Dharmasena
