name
Mudalige Don Shashi Dimantha
Weerathunga Himashi Kaushalya
Triksi Kaushalya Weerathunga
Gonbaduge Wimalawathi
Rajamuni Dewa Siriyananda
Mura Mudalige Nithya Panchali
Thalawe Ganithage Ariyadasa
Latha Ramasingha
Jonikku Hewa Nuwan Kumara
