ward	name
1 - Bulathgama	Ranwinda Gayaramya Liyanage
2 - Thubagoda	Gallinne Gedara Gayashan Nadeeka Senarathna
3 - Hunukumbura	Kotakethanage Sudesh Janaka Shantha
4 - Kirindigala	Panangalage Cameri Venetia Perera
5 - Oluganthota	Nikalandawaththe Pesala Thusara Jayasena
6 - Dehigastalawa	Mohomad Saleem Mohomad Ilham
7 - Balangoda Town	Laduyaya Ralalage Karuwala Mulle Wasantha Pushpakumara
5 - Oluganthota	Hewa Pathirathna Raveendra Pushpakumara
9 - Kumaragama	Kankanam Gamage Pemadasa
10 - Ellepola	Wadudurage Wasantha Kumara
