ward	name
1 - Urawaththa	Muthuwahandi Gnanapala De Silva
2 - Kuleegoda	Kumarasinghe Kamal Perera Rajakaruna
3 - Madampagama	Hendawasam Thushara Prasantha
4 - Akurala	Rannulu Jagath Kumar Susantha De Soyza
5 - Kahawa Weeragoda	Kakgoda Arachchi Premalal Kulasiri
6 - Thelwaththa	Nigamuni Lasantha Pushpakumara Mendis
7 - Kalupe	Demuni Parakrama
8 - Thotagamuwa	Wijemuni Dhammika De Silva Wijethilaka
9 - Katudampe	Perumahewa Lalith Nishantha
10 - Mawadavila	Deneththi Maheshika Maduwanthi
11 - Hegoda	HIthanadura Nimasha Priyadarshanie
12 - Maliduwa	Sudaththa Marage
13 - Ganegoda	Gnanasiri Deneththi
14 - Bopagoda	Paskuwal Handi Dulaj Tharanga
15 - Rathgama	Albaradura Mahesh Prasanna
16 - kapumulugoda	Hettihandi Shantha Premalal
17 - Boossa	Waththu Kankanamge Saumasiri De Silva
