ward	name
1 - Rajawewa	Waththala Deniye Gedara Renuka Rajapaksha
2 - Thissapura	Ponnavila Arachchige Roshan Perera Wijegunawardhana
3 - Nawagampura	Ranasing Bamunuge Ranjith Ranasinghe
4 - Gemunupura	Ediriweera Arachchige Santha Wikramasekara
5 - Samapura	Seruwaththa Dewage Indra Chandrakanthi Seruwaththa
6 - Indrasarapura	Puwakgolla Gedara Meklarans Anton Kapilarathna
7 - Jayawardhanapura	Ediriweera Arachchige Sumith Wikramasekara
8 - Saddathissapura	Kohoban Wickrama Thushan Lahiru Jayasekara
9 - Mihindupura	Rajasinghe Ubeysekara
10 - Senanayakapura	Ajith Pathmasiri Disanayaka
