ward	name
1 - Hadungamuwa	Kirindeniye Gedara Chaminda Dhammika Bandara
2 - Dunuwilapitiya	Enasal Mada Aluth Gedara Lalith Wijesingha
3 - Maraka	Hatanwala Gedara Upul Weerasingha
4 - Gamburuoya	Thumpane Gedara Dingiribandage Kalinga Premajith Karunarathna
5 - Malgammana	Konara Mudiyanselage Pansale Gedara Udaya Asanka Bandara Wickramasingha
6 - Dewagiriya	Thenne Hene Gedara Renuka Sarojani
7 - Hettipola	Ekanayaka Mudiyanselage Jayantha Bandara Ekanayaka
8 - Wanarawa	Aluth Gedara Sajith Bandara Jayasingha
9 - Nugagolla	Eththewala Gedara Shanthi Jayamenike
10 - Wilgamuwa	Thennakoon Mudiyansele Senarath Rajapaksha
