ward	name
1 - Budugekanda	Muthuwa Durayalage Jinadasa
2 - Pussellawa	Rathnayaka Mudiyanselage Sumanawathi
3 - Egodawela	Dissanayaka Mudiyanselage Dingiribanda
4 - Kuttiyagolla	Manamendra Patabedige Dayananda
5 - Rideepana	Wellappili Arachchige Ositha Lakshan
6 - Pussellakanda	Rathnayaka Mudiyanselage Sunil Dayananda
7 - Soranathota	Weerasingha Manamendra Rajamanthrilage Saman Indunil Weerasingha
8 - Kandegedara	Janikalas Krishnaras
8 - Kandegedara	Rathnayaka Mudiyanselage Upatissa Banda
9 - Kohowila	Thennakoon Mudiyanselage Muthubanda Thennakoon
