ward	name
1 - Dambuluwana	Disanayaka Sugath Bandara
2 - Karangoda	Waraniyagoda Manannalage Vijitha Waraniyagoda
3 - Elapatha	Lenduwa Lokuge Don Udeni Dhammika
4 - Weragama	Yamange Nilantha Disanayaka
5 - Niriella	Nishshanka Ralalage Duminda Sampath Chandrasena
6 - Hangamuwa	Chandra Kumara Gunawardhana
7 - Pahala Karawita	Kirthi Dewa Rathnayakage Lahiru Nadeesh Rathnayaka
8 - Nivithigala	Hapan Pedige Nissanka Jagath Manjula Udawaththa
9 - Noragalla	Bolukandura Vidanelage Ranjith Kumaradasa
10 - Watapota	Kukulu Korale Vidanelage Buddhika Premarathna
11 - Kolombugama	Kuda Wahumpurage Harischandra Dharmasiri
12 - Halkandaliya	Pinnakandalage Manel Pushpakumari Pinnakanda
13 - Uda Karawita	Pedikanda Manannalage Suranga Jayarathna
14 - Delwala	Dematahaththa Gamage Prasanna Indika Gamage
