name
Morage Hemantha Dilip Kumarasinghe
Nuwarapaksha Disanayakalage Lakshman Nandana Jayasekara
Dolewatte Appuhamilage Lakshmi Wijayanthimala
Henakaralalage Lakmini Renuka
Wijayasingha Arachchillage Pathma Wijayasinghe
Disanayaka Mudiyanselage Sandarani Hemamala
Jalath Ralalge Nadin Sanjeewa Jayalath
Thellambura Achchillage Gunarathmenike
Vessin Arachchillage Kulasinghe
Kankanamalage Udaya Kumara Bandara
Liyanaarachchillage Thushari Nilmini Karunarathne
Hemantha Parakramage Thushani Menaka Wijerathne
Ganithage Mahendra Saman Kumara Sumathipala
Parana Palliyaguruge Rupika Irangani
Salaman Hettige Sanath Wimalaweera
Selwarathnam Pakyarajah
