ward	name
1 - Helamada	Hearath Rallage Udaya Pushpa Kumara Herath
2 - Wattarama	Aluthwaththe Gedara Sisira Kumara Aluthwaththa
3 - Dewalegama	Somathilaka Bandara Wijayakoon
4 - Walagama	Agampiti Pathirananehelage Thilaka Pathirathna
5 - Edurapotha	Wanigasekara Mudiyanselage Malithi Sandamali Aluthwaththa
6 - Hathnagoda	Manannalage Wiraga Nalinda Madurasinghe
7 - Yattogoda	Asura Pedige Ajith Rohana Kumara Karunarathne
8 - Kobbewala	Asura Pedige Sudath Sujeewa Karunarathne
9 - Galigamuwa	Asura Pedige Anushka Udaya Karunarathne
10 - Naberiyawa	Dolewaththa Appuhamillage Nilusha Sarangika Dolewaththa
11 - Alawala	Meegahapalage Nilanthi Meegahapalage
12 - Bambararena	Karuna Pelige Manoj Buddhika Jayasooriya
13 - Atugoda	Pedi Durayalage Gunarathne
14 - Kinigama	Pathirannehelage Shyaman Indika Gunasekara
15 - Arandhara	Godayalage Ariyawathie
16 - Nadheniya	Sellapperuma Mudiyanselage Jayarathne
17 - Pindeniya	Kankanamalage Chandra Ranaseeli
18 - Malwana	Ranhoti Pedige Roshan Madushanka
19 - Kotiyakumbura	Rathnayaka Pathirannehelage Gunathilake
20 - Arukgammana	Wijesinghe Arachchillage Chandani Thamara Kumari Wijesinghe
