ward	name
1 -	Kulappuwawadu Ivon Eranga
2 -	Kulappuwa Wadu Nandana Pathmakeerthi
3 -	Pitigala Arachchige Duminda Sampath
4 -	Hikkaduwa Vithanage Sadesh Thusanga
5 -	Chathura Umesh Alahakoon
6 -	Raththaranhandi Rachinda Thushara De Silva
7 -	Aluthwala Hewa Gihanie Tharindya Sandeepani
8 - Karuwalabedda	Kariyawasam Bovithanthri Amali Pradeepa Sewwandi
9 - Aluthwala	Kariyawasam Vithanage Thushan Tharinda
10 -	Wickrama Upul Priyantha
11 -	Venura Krishantha Vathudura
12 -	Dampella Gamage Janaka Deepthi Kumara
