ward	name
1 - Thalawitiya	Pahalapolege Tharanga Nilmini Ananda
2 - Bodhimaluwa	Gammeddalage Ajith Premalal
3 - Pussella	Malkekulalage Premarathna
4 - Pathberiya	Paranavithanage Sudarshana Sampath Botheju
5 - Devipahala	Gamlath Appuhamilage Premawathi
6 - Sudagala	Bendaluwe Gamladdalage Ananda Sirisena
7 - Erathna	Arambage Ajith Jayarathna
8 - Kuruwita	Thembiliyana Manannalage Sumith Premalal
9 - Kadangoda	Kasthuri Kankanamalage Dayawathie
10 - Delgamuwa	Karadana Muhandiramalage Jayasekara
11 - Millawitiya	Gammeddawaththe Pathirannehelage Ananda Pathirana
12 - Miyanadeniya	Miyanadeniya Gamaethiralalage Dhananjaya Weerasekara
13 - Deheragoda	Ekanayaka Arachchilage Kamal Sanjeewa
14 - Ellawala	Madawala Gamlathge Shriya Abeywardhana
15 - Matuwagala	Mahaliyanage Malani peiris
16 - Theppanawa	Kaluwalage Yohan Madhusanka Samarasekara
17 - Pathagama	Nawala Wahampurage Udeni Weerasinghe
18 - Walandura	Abeysinghelage Shashendra Sampath Rupasinghe
19 - Kosgoda	Weerasooriya Mudiyanselage Ruwan Ashoka Pathirana
20 - Galukagama	Sooriya Patabendige Jeewan Ranathunga
21 - Kithulpe	Galabada Weerasinghege Janaka Wimalasiri
22 - Dodampe	Mudunkotuwa Manannalage Senadhi Gamini Nagoda
23 - Dodampe West	Goda Udawaththa Mudiyanselage Jayarathna
24 - Kiriella	Dewamunige Gnanaka Rangajeewa Kumarasiri
25 - Munasinhapura	Deegallage Raween Vinod
26 - Ellagawa	Panawal Koralage Lakmal Ruwan Kumara
