ward	name
1 - Godagandeniya	Thalangama Mahapathiranage Nirbhaya Wasana Sampath Pathirana
2 - Peradeniya	Galgepitiye Herath Mudiyanselage Prasanna Herath
3 - Mahakanda	Herath Mudiyanselage Ashen Sasanka Herath
4 - Ogastawatta	Egoda Gedara Dhanushka Lakmal Marasingha
5 - Bowala	Ediriweera Arachchige Anjali Ruwanmala
6 - Hanthana	Murugaiya Rajarathnam
7 - Ampitiya Udagama	Rajanayaka Mudiyanselage Karunarathna Rajanayaka
8 - Thennekumbura	Koswaththage Douglas Perera
9 - Wewathenna	Kulathunga Mudiyanselage Ananda Bandara
10 - Ulpathakumbura	Disanayaka Mudiyanselage Chithrani Rasangika Disanayaka
11 - Ketawala Lewla	Kulasekara Mudiyanselage Vidura Saman Kulasekara
12 - Gurudeniya East	Athapaththu Wijekoon Mudiyanselage Jayathilaka Bandara
13 - Maligathenna	Rev. Kolabisse Sirinanda
