ward	name
1 -	Antony Amila Raju Fernando Pulle
1 -	Piramana Singhage Gayan Ravindra Fonseka
2 -	Hettige Don Nelson Patric
3 -	Hapuarachchige Don Meriyan Sherli Appuhami
4 -	Warnakulasooriya Upeksha Indunil Ashirwadini Fernando
5 -	Amarasinghage Disna Thushari Fonseka
6 -	Degiri Jagath De Silva
7 -	Kadupitige Saman Thilakarathna Silva
8 -	Asarappulige Eranda Pradeep Kumara
9 -	Makavitage Wijayasiri
10 -	Paththamperuma Arachchige Don Nevil Priyantha Appuhami
11 -	Liyanage Lional Silva
12 -	Alocius Rupa Nurani Pranandu Pulle
13 -	Kadirappulige Sarath Hemantha Fernando
14 -	Manimaldure Siri Wimala
15 -	Muthumuni Vijith Premasiri Rathnayaka
16 -	Muthumuni Mahinda Dayarathna De Silva
17 -	Madampage Nanda Wijerathna Silva
18 -	Dinayadoora Lal Karunarathna
19 -	Rajapaksha Heenhamilage Kusumalatha
20 -	Munasingha Arachchige Sanath Priyadarshana De Silva
21 -	Palliyage Kumara Singha Perera
22 -	Kachchakaduge Pradeep Nishantha Kumarajeewa Fernando
23 -	Thennakoon Arachchige Irosh Anton Rangika Thennakoon
24 -	Idirimuni Chandima Lasantha De Zoysa
