ward	name
1 -	Walliwela Gedara Vasantha Kumari
2 -	Gamage Don Pradeep Manjula
3 -	Hendra Vitharanage Jayantha Lalithchandra
4 -	Edirisingha Mudiyanselage Manjula Saman Kumara Edirisingha
5 -	Ranasingha Arachchilage Lalith Ranasingha
6 -	Kumaradasage Sumudu Kamli Sherin
6 -	Peththadeerage Nalani Chandralatha
7 -	Wedaralale Gedara Karunarathna
8 -	Uduporawe Rajapaksha Sanath Manjula Rajapaksha
9 -	Wadu Misthrige Ranjith Susantha Perera
10 -	Rajagedara Mudiyanselage Indika Bandara
11 -	Aluth Gedara Tikiribanda
12 -	Ihala Gedara Samantha Kumara Rathnayaka
