ward	name
1 -	Nethvith Adividi Samasara Irugal Bandarge Gamini Rathnamalala Bandara
2 -	Polwathethe Gedara Nandana Jayapathi Ravindra Weeraman
3 -	Wanni Achchi Pathiranehelage Dinesh Pushpakumara
4 -	Dheneththi Sanju Sithara De Silva
5 -	Upasaka Dhevayalage Chamila Magret
6 -	Herath Mudiyanselage Thissa Bandara Herath
6 -	Rajapaksha Mudiyanselage Bandara Wijesooriya
7 -	Warnakulasooriyage Malin Indika
8 -	Dangampola Dewage Ranjani Somaraj Fernando
9 -	Wellappuli Arachchilage Lakshitha Prasad Wijesekara
10 -	Ranmunige Kusumsiri Ariyarathna
11 -	Wijekoon Mudiyanselage Vijitha Weerasingha
12 -	Gurugama Thalawatte Gedara Jenita Priyangani Thalawatta
