ward	name
1 -	Rathnayaka Mudiyanselage Imesh Mangala Wansha Bandara Senawirathna
2 -	Aluthgedara Saman Bandara Mahinda Weerasingha
3 -	Pushpakumara Kurupanawa Gamage
4 -	Saththaar Muhammed Nawzad
5 -	Rambukwalle Gedara Ramya Kumari Samaranayaka
6 -	Koswatte Gedara Priyantha Kumara
7 -	Rathnayaka Mudiyanselage Deepani Kaushalya Kumarihami Rathnayaka
8 -	Homapola Gedara Priyantha Kumara Samaranayaka
9 -	Herath Mudiyansele Walawwe Thusitha Siriruwan Bandaranayaka
10 -	Rathnayaka Mudiyanselekorale Gedara Pathmalal Kumara Rathnayaka
