ward	name
1 - Thellambura	Hirimuthugoda Gamage Nandanie
2 - Nakiyadeniya	Alawaththa Kankanamge Anura Prasanna
3 - Nabadawa	Nabadawa Vithanage Prasanna Kumara
4 - Yakkallamulla	Dippiti Vithanage Denad Dewapriya
5 - Kottawa	Arambegoda Lokugamage Sumanawathie Gunasekara
6 - Newungala	Hewagal Hewage Miyuru Bhashitha
7 - Thalgampala	Nabadawa Hewa Mudalige Nayana Padmini
8 - Polpagoda	Jayawardhana Liyanage Gaminie
9 - Karagoda	Ahangama Vithanage Piyathissa
10 - Magedara	Ranepura Hewage Sisira Kumara
11 - Uduwella	Wewelwala Hewage Priyalal Sandun Kumara
12 -	Hettigoda Gamage Pubudu Harshanath Hettigoda
