ward	name
1 - Kerudavil	Kalpana Vigneswaran
2 - Polikandi	Ganesamoorththi Vijiyanthan
3 - Alwai North West	Vimalanathan Kapilthev
4 - Viyaparimoolai	Santhiyapillai Antony Rajeswaran
5 - Puloly West	Sivaneswaran Nishanthan
6 - Puloly East	Aiyaththurai Srirankeswaran
7 - Vallipuram Kovil	Vallipuram Karunamoorththi
8 - Kudaththanai	Uthayakumar Jegakaran
9 - Nagar Kovil	Thavarasa Vathanaraja
10 - Maruthankerny	Kirushnapillai Pusparasa
11 - Uduththurai	Nadarasalingam Vasanthaleela
12 - Mulliyan	Sebamalai Sebasthiyan
