ward	name
1 - Puttalam Central	Abdul Hadhi Miraj Fairoon
2 - Manalgundu	Abul Kuraira Muhammadu Naleem
3 - Puttalam East	Jalaldeen Muhammadu Kassaly
4 - NedumKulam	Abdul Wahab Mohamed Nisthikar
5 - Pudukudirippuwa	Abdul Hameed Muhammadu Risan
6 - Lagoon Place	Abdul Jabbar Aysha Parween
7 - Puttalam North	Mohamed Fayas Fayaj Ahamad
8 - Puttalam South	Kadiravelu Cyril Christopher
9 - Senakudirippuwa	Nisamdeen Mohamed Fasil
10 - Thiladiya North	Kovilige George Rohan Indika
11 - Thiladiya South	Hanifa Ameer Ali
