ward	name
1 - Kalubovitiyana	Gigum Maduwa Kankanamge Ajith Wasantha Kumara
2 - Dangala	Migunthenna Kariyakaranage Priyantha Udaya Kumara
3 - Alapaladeniya	Jasin Liyanage Suraj Lakshitha Isuru
4 - Morawaka	Anil Chandranath Wijesiri Jayawardhana Weeraman
5 - Rambukana East	Senarath Parana Yapa Upul Shantha
6 - Kosnilgoda	Dahanayaka Athukoralage Kanthi
7 - Derangala	Vidana Pathiranage Chandana Prasad
8 - Pitabeddara	Malawage Dilip Kumara
9 - Dankoluwa	Kotagala Vitharana Sumith Roshan Vitharana
10 - Siyambalagoda	Munidasa Kandambi
11 - Elamaldeniya	Sooriya Welage Salinga Madushanka
12 - Dehigaspe	Gunasekara Mathu Okandage Vineetha
