ward	name
1 - kelebokka	Mayilwaganam Peille Thushanandan
2 - Mahapathana Watakele	Aluth Gedara Sandhiya Kumuduni
3 - Kosgama	Gammudalige Omantha Upeka Gammudali
4 - Thawalanthenna	Chandrasegaram Jeyaraj
5 - Beddegama Gomaraya	Thenneyaye Gedara Wasana Ruwan Kumara Wimalawansha
6 - Araththana	Maraka Walawwe Nalanda Menike
7 - Madulkele	Kajugahawatte Gedara Gamini Dissanayaka
8 - Hatale	Abeysinghe Mudiyanselage Sriyani Asela Abeysinghe Bandara
9 - Angammana panvila	Adikari Mudiyanselage Ramesh Bandara Ekanayaka
10 - Pitawala Udugoda	Bandula Bandara Rathnayaka
