ward	name
1 -	Hettige Chandana Ariyarathna
2 - Dewaladeniya	Ekanayaka Mudiyanselage Chanaka Madhushanka Ekanayaka
3 - Haththotaamuna	Ihlagedara Punchibanda
4 - Morathenna	Pahalagedara Shantha Bandara Pahalagedara
5 - Ilukkumbura	Agarathna Mudiyanselage Punchibanda
6 - Akarahadiya	Manmaluwe Vijayaraja Mudiyanselage Tikiri Bandara Manmaluwe Vijayaraja
7 - Guruwela	Ranjith Kumaragama
8 - Mahalakotuwa	Kosgahahene Gedara Thushari Dinusha Jayasena
9 - Halminiya	Pahala Gedara Thissa Kumarasingha
10 - Narangamuwa	Welena Pahala Gedara Mahinda Kumara Abeysingha
