ward	name
1 - Aluthgama	Jawad Nona Riswi
2 - Doragamuwa	Siyambala Gahamula Gedara Amdeen Siththi Nishaya Umma
3 - Yatawara	Mohideen Mohamad Ansar
4 - Gunembil	Muhammadu Fysal Mapas Ajas
5 - Meegammana	Muhammadu Jeleel Mohamad Arfath
6 - Udathalawinna madige	Abdul Rahim Muhammadu Naseer
7 - Udathalawinna	Mohammadu Sakur Mohammad Haroos
8 - Pallethalawinna	Yusup Thuwan Mahamoor
9 - Paranagama	Ismile Mira Mohidin Aiyub Khan
10 - Ambathenna	Muhammadu Sulfi Siyaur Rahman
11 - Megodagama	Haither Ali Pathima Hasna
12 - Kahalla	Mohamad Raheem Mohomad Sam
13 - Polgolla	Idayathulla Mapas
14 - Meegamawaththa	Abdul Hameed Muhammad Nisam
15 - Madawala madige	Muhammadu Subair Muhammadu Marsuk
16 - Madawala	Marjan Muhammadu Risad
17 - Pihilladeniya	Mohamad Hanif Mohamad Riswan
18 - Leemagahadeniya	Seiyadu Waseer Ali Seiyad Fahd
