ward	name
1 - Tharaperiya	Hettiarachchige Kavidu Janith Wanigasekara
2 - Nihiluwa	Kodithuwakku Kankanamge Ajith Pushpa Kumara
3 - Dammulla	Kedala Badanasinge Jayantha
4 - Ihala beligalla	Yatigala Gamacharige Kanchana Subash
5 - Agulmaduwa	Bomiriya Badalge Sujeewa Nilanthi
6 - Aranwela	Thalpavila Vidana Kankanamge Bandula Dias
7 - Waharakgoda	Winsan Muthukumarana
8 - Mahaheella	Kulasinge Thilina Sandaruwan
9 - Getamanna	Dikwella Vidanage Saman Kumara
10 - Kudaheela	Wanni Arachchige Mohan Nishantha
11 - Beliaththa	Perumpulli Arachchige Omitha Sehani
12 - Puwakdandawa	Amal Indika Deniyayage
13 - Sitinamaluwa	Nambukara Palliyaguruge Piyarathna
14 - Palapotha	Ganesh Eranga Gajaveera
15 - Nakulugamuwa	Hathagala Patabendige Nishan Udaya Kumara
16 - Galagama	Sunil Weerathunga Ekanayaka
