ward	name
1 -	Chinthaka Sanjeewa Piyasiri Malmuthuge
2 -	Kuruppu Arachchige Jagathdewa Rathnasekara
3 -	Wahala Thantrige Achini Udayangani Perera
4 -	Liyanaarachchige Keerthi Priyanka Jayasinghe
5 -	Lokuhetti Arachchi Appuhamilage Salinda Kaushalya Ariyawansa
6 -	Pelenda Kankanamge Janaka Chaminda Jayasundara
7 -	Owitigala Vithanage Saliya Sudarshana
8 -	Samantha Kumara Gunasingha
9 -	Liyanage Don Piyasena
10 -	Dewapriya Kamal
11 -	Kathriarachchige Don Asanka Rangana Siriwardana
12 -	Vithanage Chamara Damith Kumara
13 -	Karawgahanne Gedara Chamara Madhurajith Sumanarathna
14 -	Kellapatha Vithanage Niluka Darshanie Silva
15 -	Pitigala Kapuge Wimalasiri
16 -	Kulappu Thantrige Shriyani Pushpalatha
17 -	Kasun Chathuranga Senevirathna
17 -	Husain Sali Mohammadu Paiz
18 -	Hinton Abeyrathna Jayasinghe
19 -	Thebuwana Acharige Sameera Sampath
