ward	name
1 - Halpathota	Edirisooriya Maddumage Janitha Chathuranga Tensin
2 - Baddegama Town	Kariyawasam Jalath Thanthrige Gunasiri Anura
3 - Nayapamula	Gayani Shyamalie Brahmanage
4 - Hemmeliya	Liyana Kankanamge Douglus Priyantha Kumara
5 - Lelwala	Thawalama Gamage Ruwan Kumara
6 - Weihena	Saman Premakumara Bataduwa Arachchi
7 - Baddegama south	Ashoka Edirisingha
8 - Ganegama	Poramba Liyanage Asoka Priyantha
9 - Keredewela Majuwana	Punyarathna Wickramasingha
10 - Ginimellgaha	Edurisooriya Maddumage Piyal Wasantha
11 - Thelikada	Warnahalu Kasun Tharanga
12 - Balagoda	Pabala Jananie Rathna Amarasingha
13 - Andurathvila	Hashini Raweena Palihapitiya
14 - Pahala Keembiya	Sunil Samaranayaka
15 - Deiyandara	Nanayakkara Kariyawasam Haputhanthrige Laksiri
16 - Wanduramba	Malimbada Gamage Nihal Amarasiri
17 - Mabotuwana	Midigaspage Dayarathna
18 - Pitiharawa	Jeewana Prasad Welivitigoda
19 - Ihala Keembiya	Piyadi Gamage Ajith Kumara
