ward	name
1 - Manthottam	Abubaker Sathath
2 - Meera Nagar	Muhaideen Bawa Abdul Wahab
3 - Vanniyar Nagar	Ahamathu Lebbai Sahabdeen
4 - Central Division	Seyyathu Ibrahim Sithy Jaseema
5 - Puthu Nagar	Muhamathu Thampi Muhamathu Niyas
6 - Nellitivu	Jainulabdeen Badurdeen
7 - Musthafapuram	Uthuma Lebbai Muhamathu Kani
8 - Arasadi Nagar	Abdul Majid Abdul Nazar
