ward	name
1 - kandapola	Murugesu Chandiran
2 - Park	Thangawel Thamilmani
3 - Galpalama	Karunamoorthy Ravikumar
4 - Pedroo	Lingeshwaran Danush Kanth
5 - Shanthipura	Sinnakarupaiah Chandraleka
9 - Nanuoya	Palaniyandi Selwarasu
10 - Magoda	Rasalingam Aravin
11 - Ruwaneliya	Karupaiah Paramasivam
12 - Seethaeliya	Karupaiah Appasem Ananda Nonbal
13 - Meepilimana	Kuragamage Chandra Perera
14 - Perakumpura	Liyana Kankanam Gamage Dammika Priyakantha
15 - Kirimetiya	Baskaran Srikanth
16 - Waltrim	Perumal Ramakrishnan
29 - Ambewela	Ramasamy Ponnaiah Arulprakasam
