ward	name
1 - Kosgama	Madhurapperuma Arachchilage Indika Madhurapperuma
2 - Eswatta	Kiribathgodage Don Dilusha Chathurangi
3 - Hingurala	Nissanka Mudiyanselage Sanjeewa Somarathne
4 - Kadugoda	Hieralu Arachchilage Kithsiri
5 - Salawa	Rupasinghe Arachchige Don Ananda Rupasinghe
6 - Kaluaggala	John Wickramasinghe Arachchilage Naveen Tharuksha
7 - Suduwella	Sinhalachcharige Rohana Senarathne
8 - Weragolla	Muniyandi Ravi
9 - Ilukovita	Ranhaluge Jayasundara
10 - Welikanna	Kariyawasam Athukoralage Don Amal Rasanga
11 - Kahahena	Senarath Paranagama
12 - Diddeniya	Pindeniya Mudiyanselage Sunil Ranjith Wijesinghe
13 - Hanwella	Mohammadu Zaheed Mohammadu Niyaz
14 - Jayaweeragoda	Ilandari Pelige hasitha Pradeep Kumara
15 - Thunnana	Ganee Achchige Gayani Nadeeshya Ganearachchi
16 - Mawathagama	Hettiarachchige Mervin de
17 - Pitumpe	Hettiarachchige Don Sunil Gunasekara
18 - Uggalla	Godalla Pathirannehelage Piyumi Kaushalya Sarathchandra
19 - Pinnawala	Bamunu Achchige Vimalasiri
20 - Waga	Velu Shiwapalan
21 - Bope	Kavirathna Dayananda Ranasingha
22 - Weragala	Pudumasena De Silva Jayasingha
23 - Arukwattha	Bopegamage Padmashantha Madhubhashana
24 - Galagedara	Vithana Godallage Chandralatha
25 - Padukka	Colombage Sampath Chaminda
26 - Udumulla	Ranasinghe Arachchige Don Rathnasena
