ward	name
1 - Central Camp North	Paramanantham Kohila
2 - Chalambaikerny North	Raju Baskaran
3 - Navithenveli	Rathinasingam Sathiyaseelan
4 - Annamalai	Jeganadappillai Dasaputhiran
5 - Chalambaikerny Central	Yohanadan Charitha
6 - Central Camp	Seenithambi Logeshwaran
6 - Central Camp	Taggarasa Sivanadan
7 - Sorikalmunai	Chinthathdarai Chalvarasa
