ward	name
1 - kahataruppa	T.M.Gayan Gunasinghe
2 - Madugasthalawa	D.M. Chandrarathna
3 - Welgolla	R.M. Samantha Rathnayaka
4 - Maligathenna	S. Nawaraj
5 - Tolabowaththa	R.M. Kusum Kumar Chaminda Rathnayaka
6 - Passara	K. Sunil Santha
6 - Passara	M. Nilmini Udeshika Damayanthi
7 - Sapuroda	M.P. Jayathunga
8 - Pelgahathenna	D. Sridaran
9 - Puhulwaththa	W.M. Jayasena
10 - Ambathenna	K.M. Sarana Nandana Bandara
11 - Bibilegama	A.M. Samanthi
12 - Kanawerella	H.M. Jayasekara
