name
Abdul Majeed Thiyaniya
Abdul Majeedu Siroza Begam
Segu Abdul Cader Napeena
Segu Ismail Muhammadu Irfan
Sagul Ameedu Nazeer
Abdul Rahuman Lafeer
Aliyar Muwahhith Afaz Shahpi
