ward	name
1 - Jalthara	Don Akila Welikala
2 - Atigala	Sendanayake Arachchige Lionel Gunarathne
3 - Watareka	Kalupe Rathnage Dharmadasa
4 - Meegoda	Thilaka Dharmasri Alahendra
5 - Nawalamulla	Koralage Pradeep Chandra Kumara
6 - Mullegama	Kolambage Don Sandamal Siripathi Kolambage
7 - Homagama	Mahanamanam Geegana Gamage Thilakasiri
8 - Galawilawattha	Akarawitage Pushpa Sharath Kusumachandra
9 - Panagoda	Eparalalage Udeshika Dilshani
10 - Godagama	Lal Mahinda Munasinghe
11 - Owitigama	Uggallage Dhammika Udaya Shantha
12 - Madulawa	Thilaka Nanda Naranthota
13 - Dampe	Niroshan Prasanna Hewage
14 - Pitipana	Matharage Don Nishantha Gunawardhana
15 - Kiriberiyakele	Dasri Jansz
16 - Uduwana	Dodangodage Don Sudath Wickramarathna
17 - Magammana	Kothalawalage Anulawathi
18 - Hiripitiya	Nawullage Amith Gunawardana
19 - Siddhamulla	Polwaththage Jagath Palitha Perera
20 - Maththegoda Gama	Ranasinghe Arachchige Gayantha Ranasinghe
21 - Maththegoda Central	Udawela Lekamlage Nalin Pradeep Udawela
22 - Siyambalagoda	Subhasinghage Don Chaminda Ruwan Subhasinghe
23 - Diyagama	Kuruppu Achchige Don Kumar Nishantha Gunathilaka
24 - Dolahena	Waruni Thanaweera Arachchi
25 - Kiriwaththuduwa	Amarathungaachchi Maddumage Don Nimalsiri
26 - Kahathuduwa	Wasantha Punchi Hewage
27 - Wethara	Don Lakshman Wickramasekara Abegunarathne
28 - Palagama	Edirisooriyage Rani Prema
