ward	name
1 - Jalthara	Ranasinghe Arachchige Dona Nishanthi
2 - Atigala	Mambulage Don Kelum Nirosha
3 - Watareka	Dampella Gamage Amila Dilshan
4 - Meegoda	Raja Dharmasri Withana
5 - Nawalamulla	Koralage Nalin Udaya Kumara
6 - Mullegama	Handaragama Kankanamalage Dhammika Sugathsiri
7 - Homagama	Samantha Thushara Arangala
8 - Galawilawattha	Lasanthi Kumari Jayalath
9 - Panagoda	Jayakodige Ruwan Kumara Mahesh Jayakodi
10 - Godagama	Herath Mudiyanselage Piyathissa Herath
11 - Owitigama	Weerapperumage Sumith Nalaka Indu Kumara
12 - Madulawa	Malwattage Thilak Kumara Peiris
13 - Dampe	Ranasinghage Asanka Sanjeewa Kumara
14 - Pitipana	Kuruppu Achchige Jayaweera
15 - Kiriberiyakele	Chandana Upul Wickckramasinghe
16 - Uduwana	Pattiyage Rohana Saman Peiris
17 - Magammana	Meepagalage Dalas Chandana Perera
18 - Hiripitiya	Wattage Niroshani Deepika Waththage
19 - Siddhamulla	Anthonidura Priyanka Damayanthi De Silva
20 - Maththegoda Gama	Pathirage Menaka Prabhath Pathirage
21 - Maththegoda Central	Don Dasath Ranasinghe
22 - Siyambalagoda	Ganihi Achchige Don Deepthi Sisilendrajith Gunasekara
23 - Diyagama	Liyanage Kumuduni Renuka
24 - Dolahena	Epitagedara Susil Pushapa Kumara Gajanayake
25 - Kiriwaththuduwa	Petha Hannadige Sunil
26 - Kahathuduwa	Muthuhetti Gamage Wijerathne
27 - Wethara	Janitha Ruwan Kodithuwakku
28 - Palagama	Panagodage Aruna
