ward	name
1 - Pelwatta	Wickramasingha Mudiyanselage Sugath Wickramasingha
2 - Yudaganawa	Muthuwa Durayalage Wasana Edvin Priyadarshana
3 - Udagama	Rajarama Brahmanalage Athula Prabath
4 - Medagama	Chandana Sampath Gamage
5 - Gaminipura	Wikkrama Arachchige Ranjith
6 - Maligawila	Hewa Ranasingha Muhandiramge Pemarathna
7 - Okkampittiya	Kodikara Arachchilage Githani Jayasekara
8 - Gonagangara	Disanayaka Mudiyanselage Ajith Kumara
9 - Puhulkotuwa	Nikawatte Nandasiri
10 - Mahasenpura	Indrasena Liyanarachchi
11 - Kukurampola	Lasantha Lakmal Mathanghaweera
