ward	name
1 - Pahala puliyankulama	Manikalage Sirithunga
2 - Saliyawewa	Perumbadalage Sanjeewa Chandana Kumara
3 - palugassegama	Weerasinghe Pathiranalage Nishantha
4 - virapura	Marasinghe Mudiyanselage Manjula Prasad Marasinghe
5 - kubukwewa	Abeysinghe Herath Mudiyanselage Sugath Kumara Sirisena
6 - aluthgama	Gabadage Lalith Wickramasooriya
7 - ihala puliyankulama	Perumbuli Mudiyanselage Deepa Piyadarshani
8 - thambapanniya	Wijesinghe Bandage Nimal Jayasiri Bandara
9 - Thabbowa	Wanninayake Mudiyanselage Gamini Sarath Kumara
10 - murukkuwatawana	Manikkuge Haisman
11 - karuwalagaswewa	Kasthuri Arachchilage Asoka Kumara Siriwardhana
