ward	name
1 - Makulewa	Abesekara Wannaku Arachchilage Nimal Abesekara
2 - Hurigaswewa	Dissanayake Mudiyanselage Raminda Ruwan Kumara
3 - Kalankuttiya	Liyana Pathiranage Kasun Salinda
4 - Karuwalagaswewa	Ekanayaka Mudiyanselage Indra Kumari Ekanayaka
5 - Bulnewa	Kurumbapitiya Wedaralalage Dinendra Kumara Kurumbapitiya
6 - Siyambalewa	Dissanayaka Mudiyanselage Mahinda Kulathunga Dissanayaka
7 - Galnewa	Rathnamalala Wijesinghe Rajakaruna Mudiyanselage Prasad Suranga Rathnamalala
8 - Awukana	Handunkiri Kumarasinghe Mudiyanselage Rohana Vije Kumarasinhe
9 - Negama	Lebbe Thambige Nasurulla
10 - Siyambalangamuwa	Gomara Mudiyanselage Sujeewa Priyanka Wijerathna
