ward	name
1 - Mederipitiya	Dombagoda Gamage Susantha
2 - Kiriweldola	Rathnayaka Liyanage Roshan Rathnayake
3 - Kandilpana	Thyagaraja Muruganandan
4 - Thenipita	Sanjeewa Arukgoda
4 - Thenipita	Rajendram Padmini
5 - Deniyaya	Ginthota Vitharanage Chamli Silva
6 - Pallegama	Marappuli Manel Ananda
7 - Kolawenigama	Wilpita Wickramage Priyantha
8 - Kotapola North	Bamunu Arachchigei Lional Vijith
9 - Ilukpitiya	Hapu Arachchige Lalith Wasantha
10 - Kotapola South	Pathakada Gamage Sanjaya Krishantha
11 - Waralla	Gardi Hettiarachchige Jayantha
12 - Morawaka	Neththasinge Rukmani Devi
13 - Horagala	Jayantha Kumara Dissanayake
