ward	name
1 - Dimbulagala	Weerakkodi Achchillage Ashoka Kanthi
1 - Dimbulagala	Pushpavilage Jayawathi
2 - Vijayabapura	Jayasooriya Arachchilage Kelumsiri Jayasooriya
3 - Aralaganvila	Kuruppu Appuhamilage Keerthi Lakshman Wijesingha
4 - Bogaswewa	Gunadahaye Walawwe Thilakarathna Bandara
5 - Ellewewa	Kaluwawaththe Gedara Senavirathna Bandara
6 - Kalukele	Bambarawana Liyana Gamage Samantha Udaya Kumara
7 - Yakkure	Obadakumbure Gedara Uchitha Sampath Kumara
8 - Siripura	Jayasundara Mudiyanselage Dilan Chathuranga Dharmapala
9 - Galeliya	Joshep Gunasekara
10 - Veheragala	Muthukumarana Landege Gemunu Prabhath Muthukumarana
11 - Pimburaththewa	Rambadagedara Ruwan Pushpa Kumara
12 - Alawakumbura	Ethulgama Gedara Dhanawardhana
